"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","153","662","526","162","31","3","33","107","97","128","99","4","11","5","",".308",".443",".568","1.011",".422","164","","6.8","","4.0","20123"
"Mike Trout","LAA","136","586","471","134","24","3","39","97","98","100","136","11","7","2","",".285",".418",".598","1.016",".421","170","","6.6","","13.0","10155"
"José Ramírez","CLE","148","634","553","153","35","4","37","97","95","69","89","6","23","5","",".277",".360",".553",".913",".381","143","","6.4","","3.4","13510"
"Trea Turner","LAD","146","649","591","179","32","5","28","109","89","48","113","5","31","7","",".303",".359",".517",".876",".372","135","","5.9","","1.5","16252"
"Mookie Betts","LAD","146","656","565","161","34","3","32","105","96","78","99","8","14","4","",".285",".377",".525",".901",".382","142","","5.5","","15.3","13611"
"Vladimir Guerrero Jr.","TOR","152","650","562","171","32","2","39","103","102","76","98","7","3","1","",".305",".391",".577",".968",".405","156","","5.4","","5.6","19611"
"Freddie Freeman","LAD","145","663","569","171","34","3","31","103","101","82","106","8","7","2","",".302",".394",".534",".929",".391","148","","5.3","","19.5","5361"
"Bryce Harper","PHI","150","646","528","146","31","2","36","102","98","106","144","6","11","4","",".276",".400",".548",".948",".396","147","","5.2","","9.2","11579"
"Yasmani Grandal","CHW","125","508","413","97","16","1","27","72","69","84","122","4","1","0","",".235",".367",".473",".840",".362","132","","5.1","","102.5","11368"
"Alex Bregman","HOU","141","607","516","139","31","2","24","82","79","77","78","7","2","1","",".269",".369",".477",".846",".362","133","","5.0","","88.3","17678"
"Xander Bogaerts","BOS","149","638","564","162","34","2","27","90","86","63","116","5","4","1","",".288",".361",".498",".859",".365","129","","5.0","","45.7","12161"
"Will Smith","LAD","128","511","439","114","23","2","28","76","80","56","109","11","2","1","",".259",".354",".512",".866",".366","132","","5.0","","53.9","19197"
"Wander Franco","TBR","144","620","560","165","34","6","17","80","75","50","63","4","9","3","",".294",".353",".467",".820",".350","128","","4.9","","58.3","23667"
"Aaron Judge","NYY","145","626","535","147","25","1","38","95","95","81","165","6","4","2","",".274",".373",".539",".912",".385","147","","4.9","","36.2","15640"
"Rafael Devers","BOS","150","648","581","163","36","2","37","96","100","58","134","5","5","2","",".280",".348",".540",".888",".372","133","","4.9","","14.6","17350"
"Brandon Lowe","TBR","141","595","519","131","28","2","34","82","93","64","161","8","6","2","",".253",".342",".512",".855",".361","136","","4.8","","75.8","18882"
"Ronald Acuña Jr.","ATL","116","511","435","124","23","2","32","91","75","65","126","8","24","6","",".284",".384",".567",".950",".399","148","","4.8","","10.1","18401"
"Marcus Semien","TEX","150","666","592","154","31","2","34","91","90","64","130","3","10","3","",".261",".334",".492",".826",".351","125","","4.7","","39.3","12533"
"Jose Altuve","HOU","140","627","558","159","29","2","26","88","82","58","92","6","8","3","",".285",".356",".484",".840",".359","131","","4.7","","73.4","5417"
"Manny Machado","SDP","151","649","576","158","29","2","33","87","95","63","105","3","11","3","",".274",".346",".501",".847",".356","126","","4.5","","22.1","11493"
"Carlos Correa","MIN","139","614","538","147","31","1","24","81","77","67","115","4","0","0","",".274",".356",".469",".825",".353","125","","4.5","","101.6","14162"
"Shohei Ohtani","LAA","143","599","511","138","25","4","40","101","96","80","170","5","23","7","",".270",".372",".569",".941",".391","150","","4.5","","9.2","19755"
"Corey Seager","TEX","132","567","499","142","30","2","23","75","74","58","98","5","1","0","",".285",".363",".493",".856",".365","134","","4.5","","78.9","13624"
"Bo Bichette","TOR","150","646","593","171","38","3","26","93","83","43","128","5","16","5","",".289",".339",".492",".831",".353","121","","4.4","","5.0","19612"
"J.T. Realmuto","PHI","143","590","526","140","26","3","23","82","73","49","137","10","12","3","",".267",".338",".461",".799",".342","112","","4.4","","49.3","11739"
"Nolan Arenado","STL","152","645","578","154","29","2","34","84","94","56","94","4","2","1","",".267",".333",".501",".833",".349","122","","4.3","","68.1","9777"
"Byron Buxton","MIN","122","496","452","123","28","4","30","80","74","34","123","6","16","3","",".273",".330",".553",".883",".370","136","","4.3","","48.3","14161"
"Francisco Lindor","NYM","147","645","569","146","28","2","27","85","83","62","110","6","15","5","",".257",".334",".453",".787",".336","115","","4.3","","53.4","12916"
"Anthony Rendon","LAA","133","576","492","132","29","1","23","74","75","70","89","7","1","0","",".268",".363",".472",".835",".357","127","","4.2","","110.2","12861"
"Trevor Story","BOS","140","632","563","149","34","3","30","93","84","57","156","7","18","5","",".264",".336",".495",".832",".352","120","","4.2","","37.2","12564"
"Luis Robert","CHW","141","606","551","154","32","3","27","87","82","41","143","10","14","4","",".279",".339",".498",".837",".355","127","","4.2","","16.2","20043"
"Matt Olson","ATL","149","643","548","147","29","1","40","97","100","80","126","10","3","1","",".267",".368",".544",".912",".382","137","","4.0","","39.4","14344"
"Ozzie Albies","ATL","147","647","588","162","34","6","28","96","84","47","118","5","20","4","",".276",".332",".498",".831",".350","117","","4.0","","17.5","16556"
"Bryan Reynolds","PIT","150","631","555","160","33","5","23","82","85","64","125","7","4","1","",".289",".367",".491",".857",".364","129","","4.0","","93.8","19326"
"Kyle Tucker","HOU","149","610","544","145","33","4","29","87","85","57","114","4","15","4","",".266",".337",".501",".838",".353","127","","3.9","","12.6","18345"
"Pete Alonso","NYM","152","649","565","149","28","2","39","92","105","65","139","14","2","1","",".264",".352",".525",".876",".369","137","","3.9","","46.3","19251"
"Justin Turner","LAD","130","547","478","135","27","1","23","78","77","51","90","13","2","0","",".282",".363",".485",".848",".363","130","","3.8","","153.9","5235"
"Joey Gallo","NYY","143","595","486","105","19","1","41","90","97","98","201","7","4","1","",".217",".354",".516",".870",".367","135","","3.8","","178.6","14128"
"Jorge Polanco","MIN","147","636","575","156","31","4","27","86","81","48","114","5","9","3","",".272",".330",".479",".810",".344","119","","3.8","","77.9","13152"
"Yordan Alvarez","HOU","144","610","532","147","31","2","35","88","97","67","147","6","2","1","",".277",".361",".536",".897",".376","143","","3.7","","26.5","19556"
"Brandon Nimmo","NYM","123","522","435","115","23","4","13","73","52","73","108","11","7","3","",".264",".381",".423",".805",".354","127","","3.6","","322.0","12927"
